place,infobox_content,marker,coordinates,cache,latitude,longitude,სახელი,დასახლება,სტატუსი,მისამართი,ნაგავსაყრელის ტერიტორია (კვ.მ.),ემსახურება,სამუშაო საათები,ნარჩენების საშუალო რაოდენობა თვეში (მ3)
Chiatura,"ჭიათურის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ჭიათურა,სოფელი რგანი<br />
ნაგავსაყრელის ტერიტორია: 7 561.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.283333,43.28333299999997,ჭიათურის ნაგავსაყრელი,ჭიათურა,დახურული,"ჭიათურა,სოფელი რგანი",7561,,,
Sachkhere,"</p>
<p>საჩხერის ნაგავსაყრელი<br />
სტატუსი : მოქმედი<br />
ემსახურება საჩხერეს და ჭიათურას<br />
სამუშაო საათები: 24/7<br />
მისამართი: საჩხერე, სოფელი სარეკი<br />
ნარჩენების საშუალო რაოდენობა თვეში - 1800 m3<br />
ნაგავსაყრელის ტერიტორია: 15 980.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.345278,43.419444,საჩხერის ნაგავსაყრელი,საჩხერე,მოქმედი,"საჩხერე, სოფელი სარეკი",15980,"საჩხერეს, ჭიათურას",24/7,1800
Tkibuli,"</p>
<p>ტყიბულის ნაგავსაყრელი<br />
სტატუსი : მოქმედი<br />
ემსახურება ტყიბულს<br />
სამუშაო საათები: 09:00- 18:00<br />
მისამართი: ტყიბული, სოფელი მანჩორი<br />
ნარჩენების საშუალო რაოდენობა თვეში - 249 m3<br />
ნაგავსაყრელის ტერიტორია: 7 314 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.333333,42.983333000000016,ტყიბულის ნაგავსაყრელი,ტყიბული,მოქმედი,"ტყიბული, სოფელი მანჩორი",7314,ტყიბულს,09:00- 18:00,249
Samtredia,"</p>
<p>სამტრედიის ნაგავსაყრელი<br />
სტატუსი : მოქმედი<br />
ემსახურება სამტრედიას, ხონს, აბაშას და ვანს<br />
სამუშაო საათები: 24/7<br />
მისამართი:სამტრედია, სოფელი ოფეთი<br />
ნარჩენების საშუალო რაოდენობა თვეში - 2049 m3<br />
ნაგავსაყრელის ტერიტორია: 60 322.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.15,42.33333300000004,სამტრედიის ნაგავსაყრელი,სამტრედია,მოქმედი,"სამტრედია, სოფელი ოფეთი",60322,"სამტრედიას, ხონს, აბაშას, ვანს",24/7,2049
Terjola,"</p>
<p>თერჯოლის ნაგავსაყრელი<br />
სტატუსი : მოქმედი<br />
მისამართი: თერჯოლა, კოხორას ტერიტორია<br />
სამუშაო საათები: 24/7<br />
ნაგავსაყრელის ტერიტორია: 42 639.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.178056,42.98000000000002,თერჯოლის ნაგავსაყრელი,თერჯოლა,მოქმედი,"თერჯოლა, კოხორას ტერიტორია",42639,,24/7,
Zestafoni,"</p>
<p>ზესტაფონის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ზესტაფონი, სოფელი მეორე სვირი<br />
ნაგავსაყრელის ტერიტორია: 32 190.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.105556,43.035833000000025,ზესტაფონის ნაგავსაყრელი,ზესტაფონი,დახურული,"ზესტაფონი, სოფელი მეორე სვირი",32190,,,
Kharagauli,"</p>
<p>ხარაგაულის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ხარაგაული, სოფელი საღანძილე<br />
ნაგავსაყრელის ტერიტორია: 2 394.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.02234240000001,43.193652499999985,ხარაგაულის ნაგავსაყრელი,ხარაგაული,დახურული,"ხარაგაული, სოფელი საღანძილე",2394,,,
Khoni,"</p>
<p>ხონის ნაგავსაყრელი<br />
სტატუსი : დახურული<br />
მისამართი: ხონი, სოფელი ახალშენი<br />
ნაგავსაყრელის ტერიტორია: 15 755.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.316667,42.43333299999995,ხონის ნაგავსაყრელი,ხონი,დახურული,"ხონი, სოფელი ახალშენი",15755,,,
Kutaisi,"</p>
<p>ქუთაისი, ნიკეას ნაგავსაყრელი<br />
სტატუსი : მოქმედი<br />
ემსახურება ქუთაისს, ბაღდათს და წყალტუბოს<br />
სამუშაო საათები: 24/7<br />
მისამართი: ქუთაისი, ნიკეას ქუჩა<br />
ნარჩენების საშუალო რაოდენობა თვეში -21999 m3<br />
ნაგავსაყრელის ტერიტორია: 151 461.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,42.25,42.700000000000045,"ქუთაისი, ნიკეას ნაგავსაყრელი",ქუთაისი,მოქმედი,"ქუთაისი, ნიკეას ქუჩა",151461,"ქუთაისს, ბაღდათს, წყალტუბოს",24/7,21999
Sagarejo,"</p>
<p>საგარეჯოს ნაგავსაყრელი<br />
სტატუსი : მოქმედი<br />
ემსახურება საგარეჯოს<br />
სამუშაო საათები: 24/7<br />
მისამართი: საგარეჯო, სოფელი ნინოწმინდა<br />
ნარჩენების საშუალო რაოდენობა თვეში: 2400 m3<br />
ნაგავსაყრელის ტერიტორია: 19 037.00 m2",http://waste.gov.ge/ka/wp-content/uploads/2018/07/marker-pin-google_blue_40x40.png,FALSE,TRUE,41.73333299999999,45.33333300000004,საგარეჯოს ნაგავსაყრელი,საგარეჯო,მოქმედი,"საგარეჯო, სოფელი ნინოწმინდა",19037,საგარეჯოს,24/7,2400
